Id,YellowKey,Date,DiscountFactor
S0023D 2Y BLC2,Curncy,3/16/2012,0.987825
S0023D 3Y BLC2,Curncy,3/16/2012,0.976127
S0023D 4Y BLC2,Curncy,3/16/2012,0.9579
S0023D 5Y BLC2,Curncy,3/16/2012,0.934345
S0023D 1Y BLC2,Curncy,3/23/2012,0.994949
S0023D 2Y BLC2,Curncy,3/23/2012,0.987896
S0023D 3Y BLC2,Curncy,3/23/2012,0.976391
S0023D 4Y BLC2,Curncy,3/23/2012,0.9582
S0023D 5Y BLC2,Curncy,3/23/2012,0.934938
S0023D 1Y BLC2,Curncy,3/30/2012,0.995065
S0023D 2Y BLC2,Curncy,3/30/2012,0.988476
S0023D 3Y BLC2,Curncy,3/30/2012,0.977426
S0023D 4Y BLC2,Curncy,3/30/2012,0.960433
S0023D 5Y BLC2,Curncy,3/30/2012,0.937974
S0023D 1Y BLC2,Curncy,4/6/2012,0.994575
S0023D 2Y BLC2,Curncy,4/6/2012,0.987886
S0023D 3Y BLC2,Curncy,4/6/2012,0.978128
S0023D 4Y BLC2,Curncy,4/6/2012,0.963015
S0023D 5Y BLC2,Curncy,4/6/2012,0.942568
S0023D 1Y BLC2,Curncy,4/13/2012,0.994914
S0023D 2Y BLC2,Curncy,4/13/2012,0.988791
S0023D 3Y BLC2,Curncy,4/13/2012,0.979456
S0023D 4Y BLC2,Curncy,4/13/2012,0.964384
S0023D 5Y BLC2,Curncy,4/13/2012,0.943994
S0023D 1Y BLC2,Curncy,4/20/2012,0.994876
S0023D 2Y BLC2,Curncy,4/20/2012,0.988786
S0023D 3Y BLC2,Curncy,4/20/2012,0.979496
S0023D 4Y BLC2,Curncy,4/20/2012,0.964419
S0023D 5Y BLC2,Curncy,4/20/2012,0.944339
S0023D 1Y BLC2,Curncy,4/27/2012,0.994956
S0023D 2Y BLC2,Curncy,4/27/2012,0.98895
S0023D 3Y BLC2,Curncy,4/27/2012,0.979853
S0023D 4Y BLC2,Curncy,4/27/2012,0.965089
S0023D 5Y BLC2,Curncy,4/27/2012,0.945289
S0023D 1Y BLC2,Curncy,5/4/2012,0.995
S0023D 2Y BLC2,Curncy,5/4/2012,0.989147
S0023D 3Y BLC2,Curncy,5/4/2012,0.980296
S0023D 4Y BLC2,Curncy,5/4/2012,0.966353
S0023D 5Y BLC2,Curncy,5/4/2012,0.947142
S0023D 1Y BLC2,Curncy,5/11/2012,0.994399
S0023D 2Y BLC2,Curncy,5/11/2012,0.987991
S0023D 3Y BLC2,Curncy,5/11/2012,0.979153
S0023D 4Y BLC2,Curncy,5/11/2012,0.965221
S0023D 5Y BLC2,Curncy,5/11/2012,0.946385
S0023D 1Y BLC2,Curncy,5/18/2012,0.994035
S0023D 2Y BLC2,Curncy,5/18/2012,0.98683
S0023D 3Y BLC2,Curncy,5/18/2012,0.977692
S0023D 4Y BLC2,Curncy,5/18/2012,0.964133
S0023D 5Y BLC2,Curncy,5/18/2012,0.946527
S0023D 1Y BLC2,Curncy,5/25/2012,0.994258
S0023D 2Y BLC2,Curncy,5/25/2012,0.987305
S0023D 3Y BLC2,Curncy,5/25/2012,0.978169
S0023D 4Y BLC2,Curncy,5/25/2012,0.964455
S0023D 5Y BLC2,Curncy,5/25/2012,0.946361
S0023D 1Y BLC2,Curncy,6/1/2012,0.994195
S0023D 2Y BLC2,Curncy,6/1/2012,0.987582
S0023D 3Y BLC2,Curncy,6/1/2012,0.979691
S0023D 4Y BLC2,Curncy,6/1/2012,0.967861
S0023D 5Y BLC2,Curncy,6/1/2012,0.951747
S0023D 1Y BLC2,Curncy,6/8/2012,0.99463
S0023D 2Y BLC2,Curncy,6/8/2012,0.988625
S0023D 3Y BLC2,Curncy,6/8/2012,0.980535
S0023D 4Y BLC2,Curncy,6/8/2012,0.967689
S0023D 5Y BLC2,Curncy,6/8/2012,0.950097
S0023D 1Y BLC2,Curncy,6/15/2012,0.994903
S0023D 2Y BLC2,Curncy,6/15/2012,0.98911
S0023D 3Y BLC2,Curncy,6/15/2012,0.981553
S0023D 4Y BLC2,Curncy,6/15/2012,0.969942
S0023D 5Y BLC2,Curncy,6/15/2012,0.953706
S0023D 1Y BLC2,Curncy,6/22/2012,0.995168
S0023D 2Y BLC2,Curncy,6/22/2012,0.989293
S0023D 3Y BLC2,Curncy,6/22/2012,0.981071
S0023D 4Y BLC2,Curncy,6/22/2012,0.968105
S0023D 5Y BLC2,Curncy,6/22/2012,0.950682
S0023D 1Y BLC2,Curncy,6/29/2012,0.995002
S0023D 2Y BLC2,Curncy,6/29/2012,0.989135
S0023D 3Y BLC2,Curncy,6/29/2012,0.981444
S0023D 4Y BLC2,Curncy,6/29/2012,0.969478
S0023D 5Y BLC2,Curncy,6/29/2012,0.952761
S0023D 1Y BLC2,Curncy,7/6/2012,0.995208
S0023D 2Y BLC2,Curncy,7/6/2012,0.989714
S0023D 3Y BLC2,Curncy,7/6/2012,0.982721
S0023D 4Y BLC2,Curncy,7/6/2012,0.971289
S0023D 5Y BLC2,Curncy,7/6/2012,0.955647
S0023D 1Y BLC2,Curncy,7/13/2012,0.995594
S0023D 2Y BLC2,Curncy,7/13/2012,0.990492
S0023D 3Y BLC2,Curncy,7/13/2012,0.983612
S0023D 4Y BLC2,Curncy,7/13/2012,0.973044
S0023D 5Y BLC2,Curncy,7/13/2012,0.958004
S0023D 1Y BLC2,Curncy,7/20/2012,0.995823
S0023D 2Y BLC2,Curncy,7/20/2012,0.991206
S0023D 3Y BLC2,Curncy,7/20/2012,0.984995
S0023D 4Y BLC2,Curncy,7/20/2012,0.974799
S0023D 5Y BLC2,Curncy,7/20/2012,0.960266
S0023D 1Y BLC2,Curncy,7/27/2012,0.995888
S0023D 2Y BLC2,Curncy,7/27/2012,0.991125
S0023D 3Y BLC2,Curncy,7/27/2012,0.98458
S0023D 4Y BLC2,Curncy,7/27/2012,0.973853
S0023D 5Y BLC2,Curncy,7/27/2012,0.958056
S0023D 1Y BLC2,Curncy,8/3/2012,0.995959
S0023D 2Y BLC2,Curncy,8/3/2012,0.991292
S0023D 3Y BLC2,Curncy,8/3/2012,0.984492
S0023D 4Y BLC2,Curncy,8/3/2012,0.972929
S0023D 5Y BLC2,Curncy,8/3/2012,0.956725
S0023D 1Y BLC2,Curncy,8/10/2012,0.995824
S0023D 2Y BLC2,Curncy,8/10/2012,0.990859
S0023D 3Y BLC2,Curncy,8/10/2012,0.983823
S0023D 4Y BLC2,Curncy,8/10/2012,0.971838
